Cell ID,Cell type,x,y,z,Radius,Mother ID,Time point,Confidence,Skeleton ID
358,-1,943.1614807,960.9307037,2485.678277,10,357,37,-1,0
357,-1,941.765136,965.9491729,2474.709004,10,356,38,-1,0
356,-1,936.7803627,959.4282774,2475.818662,10,355,39,-1,0
355,-1,928.5016799,954.4710739,2476.042033,10,354,40,-1,0
354,-1,934.0081399,958.6092888,2479.504226,10,353,41,-1,0
353,-1,933.52979,958.5668091,2476.958217,10,352,42,-1,0
352,-1,928.4570863,952.6744706,2468.234921,10,351,43,-1,0
351,-1,926.845029,957.2565009,2461.066031,10,350,44,-1,0
350,-1,920.6178666,961.8987434,2463.766227,10,349,45,-1,0
349,-1,920.9516055,951.6204529,2466.305545,10,348,46,-1,0
348,-1,918.2351098,979.2922185,2473.239863,10,347,47,-1,0
347,-1,923.6267076,976.4948513,2464.37252,10,346,48,-1,0
346,-1,914.2059733,970.2733216,2481.3084,10,345,49,-1,0
345,-1,912.4496488,970.6529794,2498.532605,10,344,50,-1,0
344,-1,911.2334492,966.0730921,2514.301549,10,343,51,-1,0
343,-1,913.9338807,965.890152,2519.276851,10,342,52,-1,0
342,-1,922.535509,978.7173786,2518.313141,10,341,53,-1,0
341,-1,924.2416454,980.7403667,2517.676401,10,340,54,-1,0
340,-1,931.9757157,985.4790799,2522.626899,10,339,55,-1,0
339,-1,929.8457391,993.6884149,2525.00843,10,338,56,-1,0
338,-1,937.7646516,1003.157633,2531.328918,10,337,57,-1,0
337,-1,948.7856603,1010.057441,2522.250618,10,336,58,-1,0
336,-1,956.8991878,1017.393093,2498.116692,10,335,59,-1,0
335,-1,960.7689971,1020.308357,2499.282983,10,334,60,-1,0
334,-1,958.1330989,1019.492188,2492.289643,10,333,61,-1,0
333,-1,953.2289163,1014.590053,2480.117796,10,332,62,-1,0
332,-1,935.8604434,1011.421674,2490.532291,10,330,63,-1,0
330,-1,929.9915691,1010.577152,2499.085871,10,329,64,-1,0
329,-1,938.6955764,1013.557736,2514.194928,10,328,65,-1,0
328,-1,947.5406472,1018.402686,2519.066968,10,327,66,-1,0
327,-1,953.9250278,1016.725064,2520.255602,10,326,67,-1,0
326,-1,955.4651227,1019.488751,2512.928206,10,325,68,-1,0
325,-1,959.9837959,1018.161909,2507.92584,10,324,69,-1,0
324,-1,960.7633295,1023.303081,2504.619409,10,323,70,-1,0
323,-1,965.9148585,1039.798317,2509.538102,10,322,71,-1,0
322,-1,964.7412896,1036.053452,2508.455005,10,321,72,-1,0
321,-1,971.5862403,1041.034502,2506.734929,10,320,73,-1,0
320,-1,970.0507222,1035.631008,2509.310629,10,319,74,-1,0
319,-1,966.4077777,1034.552831,2506.478299,10,318,75,-1,0
318,-1,969.1979298,1040.466082,2507.973659,10,317,76,-1,0
317,-1,971.0489656,1045.460285,2505.201879,10,316,77,-1,0
316,-1,973.7164871,1047.710368,2511.809067,10,315,78,-1,0
315,-1,972.0189163,1045.665663,2519.066236,10,314,79,-1,0
314,-1,971.6750536,1038.224222,2530.945117,10,313,80,-1,0
313,-1,973.867638,1033.166807,2536.056897,10,312,81,-1,0
312,-1,972.638387,1031.830894,2532.371226,10,311,82,-1,0
311,-1,970.5884716,1030.866811,2534.973707,10,310,83,-1,0
310,-1,967.4241033,1028.649113,2538.032678,10,309,84,-1,0
309,-1,965.6277666,1027.030145,2534.152371,10,308,85,-1,0
308,-1,959.5189322,1024.541009,2536.778562,10,307,86,-1,0
307,-1,957.7593299,1019.055698,2540.225174,10,306,87,-1,0
306,-1,955.6936815,1023.121206,2554.106302,10,305,88,-1,0
305,-1,961.7727724,1023.911466,2559.863702,10,304,89,-1,0
304,-1,972.4211745,1026.605514,2556.305322,10,303,90,-1,0
303,-1,973.2029905,1033.35106,2561.26656,10,302,91,-1,0
302,-1,976.6332901,1031.092217,2574.819944,10,301,92,-1,0
301,-1,979.3444616,1028.796913,2573.261769,10,300,93,-1,0
300,-1,968.6701126,1025.891019,2569.55738,10,299,94,-1,0
299,-1,966.7249171,1018.130859,2568.878763,10,298,95,-1,0
6740,-1,902.8335175,993.0390456,2405.387203,10,6739,96,-1,35
298,-1,966.5001867,1022.76315,2571.0266,10,297,96,-1,0
297,-1,971.7413315,1020.066521,2567.255935,10,296,97,-1,0
6739,-1,907.329081,989.8559611,2409.74544,10,6738,97,-1,35
296,-1,964.7265931,1008.477102,2579.42635,10,295,98,-1,0
6738,-1,904.8812919,984.4666352,2412.140034,10,6737,98,-1,35
6737,-1,903.1508739,984.4512278,2410.81851,10,6736,99,-1,35
295,-1,959.9222917,1002.781892,2569.407666,10,294,99,-1,0
6736,-1,900.34054,985.3542918,2411.934113,10,6735,100,-1,35
294,-1,957.514599,1002.359883,2570.651736,10,293,100,-1,0
293,-1,952.623208,1007.513608,2567.524929,10,292,101,-1,0
6735,-1,890.5258978,987.1640202,2413.663056,10,6734,101,-1,35
292,-1,950.0378628,1007.236966,2567.717917,10,291,102,-1,0
6734,-1,893.1671319,984.8506542,2418.806437,10,6733,102,-1,35
6733,-1,892.3229319,985.7268041,2417.024437,10,6732,103,-1,35
291,-1,953.6867849,1016.987083,2575.564266,10,290,103,-1,0
6732,-1,893.2383512,984.9153847,2411.522162,10,6731,104,-1,35
290,-1,959.9805906,1008.925561,2576.687652,10,289,104,-1,0
289,-1,958.4922874,997.4894478,2573.601459,10,288,105,-1,0
6731,-1,898.9305146,976.4492053,2405.896913,10,6730,105,-1,35
288,-1,956.2180443,997.224355,2571.250487,10,287,106,-1,0
6730,-1,899.2007654,969.5614624,2393.421227,10,6729,106,-1,35
6729,-1,900.3060163,973.2395476,2389.311919,10,6728,107,-1,35
287,-1,956.8999631,997.231068,2565.703817,10,286,107,-1,0
6728,-1,897.8914482,977.2508603,2386.157931,10,6727,108,-1,35
286,-1,953.5743706,997.2806541,2561.053178,10,285,108,-1,0
285,-1,943.9764547,999.3967969,2556.409775,10,284,109,-1,0
6727,-1,890.2289043,973.7865624,2380.578069,10,6726,109,-1,35
284,-1,946.6488717,994.5349558,2556.4506,10,283,110,-1,0
6726,-1,894.8165382,971.8122525,2383.043856,10,6725,110,-1,35
6725,-1,892.4920564,972.8466385,2379.526499,10,6724,111,-1,35
283,-1,942.8083901,1000.261217,2563.692252,10,282,111,-1,0
6724,-1,890.6143538,968.8333656,2363.520332,10,6723,112,-1,35
282,-1,935.2248194,991.5980776,2559.759933,10,281,112,-1,0
281,-1,931.0165201,989.9439203,2561.536242,10,280,113,-1,0
6723,-1,886.7855673,964.9894102,2359.655511,10,6722,113,-1,35
280,-1,928.4431324,986.480142,2555.094918,10,279,114,-1,0
6722,-1,884.2907421,956.7097041,2355.2941,10,6721,114,-1,35
6721,-1,876.1878921,949.3184585,2347.436413,10,6720,115,-1,35
279,-1,924.0875115,986.366654,2559.160899,10,278,115,-1,0
6720,-1,873.9184175,944.7457787,2349.698229,10,6719,116,-1,35
278,-1,914.8049609,988.2574112,2565.030526,10,277,116,-1,0
277,-1,925.605028,985.9837391,2561.390295,10,276,117,-1,0
6719,-1,869.883735,939.5488489,2353.342894,10,6718,117,-1,35
276,-1,923.765314,990.6345471,2564.858658,10,274,118,-1,0
6718,-1,867.7419779,939.1621437,2354.379398,10,6717,118,-1,35
6717,-1,866.1220628,938.3962353,2354.082012,10,6716,119,-1,35
274,-1,923.716598,992.3067898,2563.361232,10,273,119,-1,0
6716,-1,864.1578513,939.4594417,2353.33243,10,6715,120,-1,35
273,-1,921.7617661,992.009134,2567.326025,10,272,120,-1,0
272,-1,922.2283077,981.9993197,2573.205511,10,271,121,-1,0
6715,-1,868.2241785,935.8059,2355.179342,10,6714,121,-1,35
6714,-1,870.9258513,933.6895363,2356.22133,10,6713,122,-1,35
271,-1,915.7982437,967.9531514,2578.590076,10,270,122,-1,0
6713,-1,869.4142523,933.9236875,2356.636614,10,6712,123,-1,35
270,-1,918.2699051,967.6505024,2583.358193,10,269,123,-1,0
6712,-1,868.3183971,932.2811371,2357.205117,10,6711,124,-1,35
269,-1,921.3378792,966.4067511,2584.295986,10,268,124,-1,0
268,-1,920.1782347,958.5660154,2582.984937,10,267,125,-1,0
6711,-1,873.7630796,929.4459163,2355.593383,10,6710,125,-1,35
6710,-1,871.8936427,926.1372762,2356.905273,10,6709,126,-1,35
267,-1,919.1164336,949.6942996,2591.7147,10,266,126,-1,0
6709,-1,870.140252,924.5523267,2360.047031,10,6708,127,-1,35
